Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
Biponi Scheme,industries and commerce department,business entity,eligibility 1. the location of the industry must be in rural areas of assam. 1. the industry must be already existing and also the unit necessity is to have a continuous operation for a minimum of 2 years. 1. the industryunit should hold its own workshed for the process and production. 1. the age of the applicant should be not less than 18 years and more than 50 years to apply for this scheme. 1. there is no bar of educational qualification.,the objective of the scheme is to support to the micro  small enterprises to participate in different trade fairs and events within the state in the country and abroad for marketing of their products and also getting the exposure.,na,"Biponi, Business, Entrepreneurship, Micro"
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,rural development department,individual,eligibility 1. women farmers only women farmers are eligible to apply for the scheme. women farmers who own or operate agricultural land are eligible to apply. 1. resident of gujarat only women farmers who are residents of gujarat are eligible to apply. 1. age criteria there is no specific age limit for the scheme. women farmers of all age groups can apply. 1. income criteria there is no specific income criteria for the scheme. however preference is given to women farmers who belong to economically weaker sections. 1. land holding women farmers who own or operate agricultural land are eligible to apply. the size of the landholding is not a criterion for eligibility. 1. registration women farmers have to  themselves with the department of agriculture and cooperation to apply for the scheme. 1. group formation women farmers can also form groups and apply for the scheme collectively..,mukhya mantri mahila kisan sashaktikaran yojana mmksy is a scheme launched by the government of gujarat to empower women farmers in the state. the scheme was announced in the 201819 budget and is being implemented by the department of agriculture and cooperation.,na,"Kisan, Mahila, Mukhya Mantri, Sashaktikaran Yojana"
Scholarship To 2 Years Pre-Service Student Teachers Undergoing D.El.Ed Programme At DIETs And CTTC Sohra,education department,individual,1. the applicant should be a permanent resident of meghalaya. 1. the applicant who wants to become a teacher may apply for the scheme. 1. the applicant should be class xii passed or its equivalent examination from recognized boardscouncils with 50 marks with 5 relaxation for stscobcpwd. 1. a candidate waiting for class  xii results may also apply with the condition that they can produce their provisionaloriginal documents at the time of counseling. 1. the age of the applicant should be between 18 to 27 years and age relaxation will be up to 5 years for scstobcpwd as per the reservation policy of the government of meghalaya.  there will be blockwise allocation of seats to facilitate the availability of trained teachers locally in the respective blocks.  reservation policy  as per the meghalaya government reservation policy for different communities of the state.  5 of the seats will be reserved for persons with disabilities.  marks allotment for the counseling sl. no.descriptionsmarks allotment1academic  of marks in class xiii. marks with 80 10050ii. marks with 60 79 40iii. marks with 60 79 302entrance test marks503personality104communication skills105aptitude  interest towards teaching 206general knowledge107maximum marks150 waiting list candidates should be selected equivalent to the intake capacity of the institute.  the number of candidates for each counseling shall be decided by the respective diets.  in case the number of selected candidates is less than the intake capacity in such cases the institution should give preference to the waiting list from other districts as well.  allotment of seats at least 30 of the seats are to be allotted to candidates having science and mathematics backgrounds at the class xii level.,the scheme scholarship to 2 years preservice student teachers undergoing d.el.ed programme at diets and cttc sohra was launched by the dept. of education govt. of meghalaya in 2012. the scheme offers a scholarship of 5000 p.m. for 2 years 10 months per year to attract the states best talent. this scheme offers a scholarship of 5000 per month for 2 years 10 months per year to attract the states best talent to take up teaching as a profession., application process  the students applying for the scholarship for the first time need to  using the icon new registration at the nsp portal url   by providing accurate and correct information as per their documents.  after successfully get registration done students will get their student registration id.  through student registration id students will be able to  into the account using the icon fresh application at nsp portal.  after successful  to the portal the welcome page appeared. on clicking the application form icon students will be directed to the application screen.  now the students may fill out the complete application form and on clicking the final submit button the application is finally submitted.  on successful submission of the application a systemgenerated registration number is sent to the students which can be used for future reference.  selection procedure 1. entrance test 2. counselling 3. the selection procedure will be based on merit as per block quota,"Education, Scholarship, Student, Teacher, Teaching"
Zero Budget Natural Farming,agriculture department,individual,1. interested farmers should be selected for the scheme who have a special interest in natural farming. every farmer must have a minimum of oneacre land ownership or family account holder. 1. interested farmers may be from the same village neighboring villages or different villages as far as possible. 1. interested farmers will be selected by the regional assistant agriculture officer  agriculture supervisor. 1. horticulture crops and animal husbandry should also be included in natural farming. 1. for the selection of farmers priority should be given to sc st bpl small and marginal farmers as much as possible. youths up to 35 years should be included for natural farming so that their capacity can increase. 1. necessary material like drum bucket jug etc. will be given on grant to the concerned farmer for setting up the input unit for natural farming. 1. farmers selected under paramparagat krishi vikas yojana should not be included in this scheme.,the rajasthan state government started a scheme zero budget natual farming in 202021 to promote natural farming. 1. a subsidy of 50 provides to farmers to buy the farming items. 1. a large drum of 200 litres a small drum of 50 litres capacity a bucket of 20 litres capacity a jug filter water spray sprayer trichoderma cowurine dung etc. material and organic mulch material like leaves of trees weed bedding leaves of milletsorghum etc. groundnut peels and in the field for moisture conservation between the rows 50 of the total cost of available other waste material or a maximum of rs.600 per farmer will be given as subsidy by dbt. 1. training and farmers tours. 1. gram panchayat level training.,1. applicant farmers have to go to the agriculture department office or krishi vigyan kendra of your district to get the benefit of mukhyamantri swavalamban yojana. 1. get the application form to apply under this scheme. 1. enter all the necessary information asked in the form carefully. 1. attach the required documents with the application form. 1. submit the application form to the same agriculture department.,"Agriculture, Farmer, Low Cost Fartming, Training"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,ministry of commerce and industry,individual, the applicant should be a tribal grower.  the applicant is eligible for only one unit.,the scheme supply of baby pulpers aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees enabling them to earn better returns. unit cost actual cost of the unit or 16000 per unit whichever is less. scale of subsidy 75 of the unit cost.,  beneficiary identification and application the extension officer identifies the beneficiaryapplicant and obtains the application for procurement  supply of the baby pulper in the prescribed format in duplicate. this process includes submitting land records and 25 of the unit cost.   procurement details if baby pulpers are procured and supplied by the state governmentother agencies the extension officer collects beneficiary details along with 25 of the unit cost of the pulper.   beneficiary list compilation the extension officer compiles a list of identified beneficiaries and submits it to the concerned deputy director extn. who consolidates the regional requirements and forwards them to the joint director extn. guwahati.   tendering process the joint director extension guwahati completes the tendering process adhering to all official formalities.   financial sanction and order placement after the tendering process the joint director extension guwahati obtains financial sanction from the competent authority and places the order with the accepted manufacturer. the condition is set for the manufacturer to supply the pulpers to the growers by october.   machinery inspection and payment extension officers conduct inspections of the machinery at the growers fields. they then submit the physical verification report to the concerned deputy director extn.joint director extn. guwahati to effect the suppliers payment.,"Agriculture, DBT, Farmer, Subsidy"
Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),ministry of commerce and industry,individual,1. the applicant should be a postgraduate student or a research scholar from a recognized universityinstitute. 1. the internship should be a part of their course curriculum wherein duration of internship may extend to a semester or undertaken as an additional assignment during the annual vacations.,the internship scheme by the directorate general of trade remedies dgtr provides opportunities for young scholars especially from law  economics stream interested in learning about trade remedial investigations.  certificate of internship certificates will be issued to the interns at the end of successful completion of the internship.  no financial aid  stipend will be provided by this directorate to the interns.,the interested pg students  research scholars may send their application in the prescribed proforma along with their cv optional either by post or byhand to reach the following address general administration section directorate general of trade remedies dgtr ministry of commerce jeevan tara building new delhi delhi 110001  the application should be sent at least one month in advance from the date the applicant intends to join.,"Commerce, Internship, Internship, Postgraduation, Research, Trade"
Scheme for Margin Money Grant to Nano Units,industries and commerce department,business entity industries,1. all new nano proprietary enterprises in manufacturingfood processing and job works and units engaged in the service sector having any type of value addition whose project cost includes fixed capital and working capital up to 10 lakhs are eligible for assistance under the scheme. 1. the unit shall not have availed any grant assistance earlier under any schemes of the government of india  government of kerala or local self government department.  preference is given to special categories such as women handicapped persons exservicemen and persons belonging to scst.  youth entrepreneurs up to the age of 40 are also given priority under the scheme.  30 of the beneficiaries under the scheme shall be women entrepreneurs.  industrial units which receive the assistance will be under obligation to remain working continuously for three years from the date of receipt of the grant. however it is necessary that a unit shall be a working one as of the date of release of the assistance.  obligation of an applicant 1. the applicant shall provide all required details and declare such information as to be true. 1. the applicant shall provide clarifications of further details sought by the recommending sanctioning authority. 1. the applicant shall allow inspection or verification of any details mentioned in the application including plant and machinery and all other assets if so required by recommendingsanctioning authority. 1. applicants shall produce originals of any important documents if so required by the recommending sanctioning authority for verification including 1. title deed of landland tax receipt if anylease agreementrent agreement as the case may be. 1. ownership certificate of the building if any. 1. invoice or bill of plant and machinery. 1. the applicant shall execute the requisite legal agreement online and if required on paper as and when the proposal is approved for implementation and furnish the signed hard copy subsequently via post or otherwise. 1. the applicant shall utilize the amount received only in the manner agreed upon. 1. the applicant shall operate the unit as stipulated in the agreement in which the quantum of support received failing which the assistance shall be resumed by restoring the provisions of the kerala revenue recovery act.,the scheme margin money grant to nano units is a loanlinked scheme operated by directorate of industries  commerce govt. of kerala. the scheme aims to provide financial assistance to nano units in the state engaged in manufacturingjob work  service activity having any type of value addition. 1. units with project costs up to 10 lakhs will be covered in the scheme. 2. margin money grant of 30 to 40 of the total project cost according to the category of the applicant. 3. women youth age between 18 and 40 differentiallyabled persons exservicemen and persons belonging to the scst category will be eligible for a 10 additional grant. 4. the maximum limit of margin money grant under the scheme shall be 4 lakhs per unit as follows. a. loan given by financial institutionkfccooperative bank minimum 40  of the project cost b. promoters contribution minimum 30  of the project cost c. margin money grand by industries department 30  of the project cost limited to a maximum of 3 lakhs d. in case of special categories mmg will be 40  of the project cost limited to a maximum of 4 lakhs and promoters contribution shall be 20.  financial assistance categoryloan from financial institution minimumbeneficiary contribution minimummargin money grant maximumgeneral403030special402040 the assistance under the scheme shall be released to the eligible entrepreneur by bank on a prorata basis., application can be submitted online through the  of the directorate of industries  commerce government of kerala. the applicant needs to visit the .  the applicant may select the scheme one family one enterprise from the available online services listed on the home page and click on the  option. clicking  redirects to the  page if the new user uses the registration option and if already ed use the  option.  a new user can  by filling in hisher details and after successful registration the user can .  after successful  the applicant may fill out the application form.  after filling out the application form completely and then click on submit.,"Enterprise, Entrepreneur, Financial Assistance, Margin Money, Nano Unit"
Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students,adi dravidar welfare department puducherry,individual, the applicant should be from a scheduled caste.  the applicant should be a student.  the applicant should have secured 55 or above marks in the higher secondary examination.  the applicant should be a nativeresident of the union territory of puducherry for not less than 5 years.,dr. b.r. ambedkar memorial award to scheduled caste students was introduced by the adi dravidar welfare dept govt of puducherry is granted to top ranking boy and girl student in each region pondicherry karaikal and yanam who have secured 55 marks in the higher secondary examination. cash award of 15000., the interested applicant should visit during office hours the office suboffice of the adi dravidar welfare and scheduled tribes welfare department and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filledin applications.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the concerned authority.  request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Award, Financial Assistance, Scheduled Caste, Students"
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,adi dravidar welfare department puducherry,individual, the applicant should be a citizen of india.  the applicant should belong to the union territory of pondicherry by virtue of birth or continuous residence of not less than 3 years.  the applicant should be from scheduled caste.  the applicant should be a woman.  the applicant should be pregnant.  the applicant should apply from 6 months of pregnancy and within 3 months from the date of delivery.  the annual income of the applicant and spouse should not exceed 200000.  the grant of financial assistance is made available only for 2 deliveries.,the scheme grant of financial assistance to poor scheduled caste pregnant  lactating women was introduced by the adi dravidar welfare department government of puducherry. the objective of the scheme is to provide assistance for the wellbeing of pregnant and lactating mothers and their children. financial assistance of 12000 as follows  the prenatal assistance shall be 2000 in cash per month for three months prior to the month of delivery.  the postnatal assistance shall be 2000 in cash per month for three months following delivery.  the grant of financial assistance is made available only for 2 deliveries., the interested applicant should visit during office hours the office suboffice of the adi dravidar welfare and scheduled tribes welfare department and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filledin applications.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the concerned authority.  request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Child, Financial Asisstance, Hospital, Infant, Pregnant, Scheduled Caste, Woman"
Grant of House Construction Subsidy to Scheduled Caste People,adi dravidar welfare department puducherry,individual family, the applicant should be a citizen of india.  the applicant should be a native or a permanent resident of the union territory of pondicherry.  the applicant should not possess a house.  the applicant should be from scheduled caste or from other economically backward class.  for scheduled caste  the applicant should have a house site of an area of 450 sq.ft to build the house.  the annual income of the applicant should not exceed 200000.  for other economically backward class  the applicant should have a house site granted by adi dravidar welfare department.  the annual income of the applicant should not exceed 24000.,the scheme grant of house construction subsidy to scheduled caste people was introduced by the adi dravidar welfare dept govt of puducherry. the poor scheduled caste people and other economically backward class people who meet the eligibility criteria are provided house construction subsidy.  the subsidy amount of 400000 is granted in 3 instalments as follows 1st installment of 150000 on possession of vacant house site. 2nd installment of 150000. 3rd installment of 100000.  the building materials worth 100000 will also be provided.  the number of beneficiaries to be covered every year will be completed according to the physical target earmarked in the action plan., the interested applicant should visit during office hours the office suboffice of the adi dravidar welfare and scheduled tribes welfare department and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filledin applications.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the concerned authority.  request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Construction, House, Housing, SC, Scheduled Caste, Subsidy"
