Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
Biponi Scheme,Industries and Commerce Department,Business Entity,"**Eligibility** 
1. The location of the industry must be in rural areas of Assam.
1. The industry must be already existing and also the unit necessity is to have a continuous operation for a minimum of 2 years.
1. The industry/unit should hold its own workshed for the process and production.
1. The age of the applicant should be not less than 18 years and more than 50 years to apply for this scheme.
1. There is no bar of educational qualification.
<br>
","The objective of the scheme is to support to the Micro & Small enterprises to participate in different trade fairs and events within the State, in the Country and abroad for marketing of their products and also getting the exposure. 
",N/A,"Biponi, Business, Entrepreneurship, Micro"
Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,Rural Development Department,Individual,"**Eligibility** 
1. Women Farmers: Only women farmers are eligible to apply for the scheme. Women farmers who own or operate agricultural land are eligible to apply.
1. Resident of Gujarat: Only women farmers who are residents of Gujarat are eligible to apply.
1. Age Criteria: There is no specific age limit for the scheme. Women farmers of all age groups can apply.
1. Income Criteria: There is no specific income criteria for the scheme. However, preference is given to women farmers who belong to economically weaker sections.
1. Land Holding: Women farmers who own or operate agricultural land are eligible to apply. The size of the landholding is not a criterion for eligibility.
1. Registration: Women farmers have to register themselves with the Department of Agriculture and Co-operation to apply for the scheme.
1. Group Formation: Women farmers can also form groups and apply for the scheme collectively..
<br>
","Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY) is a scheme launched by the Government of Gujarat to empower women farmers in the state. The scheme was announced in the 2018-19 budget and is being implemented by the Department of Agriculture and Co-operation. 
",N/A,"Kisan, Mahila, Mukhya Mantri, Sashaktikaran Yojana"
Scholarship To 2 Years Pre-Service Student Teachers Undergoing D.El.Ed Programme At DIETs And CTTC Sohra,Education Department,Individual,"
   1. The applicant should be a permanent resident of Meghalaya.
   1. The applicant who wants to become a teacher may apply for the scheme.
   1. The applicant should be Class XII passed or its equivalent examination from recognized Boards/Councils with 50% marks with 5% relaxation for ST/SC/OBC/PWD.
   1. A candidate waiting for Class - XII results may also apply with the condition that they can produce their provisional/original documents at the time of counseling.
   1. The age of the applicant should be between 18 to 27 years and age relaxation will be up to 5 years for SC/ST/OBC/PWD as per the reservation policy of the government of Meghalaya. 
**Note:** There will be block-wise allocation of seats to facilitate the availability of trained teachers locally in the respective blocks.
&gt; **Reservation Policy:**
  - As per the Meghalaya Government Reservation Policy for different communities of the state.
  - 5% of the seats will be reserved for persons with disabilities.
&gt; **Marks allotment for the counseling:**
**Sl. No.****Descriptions****Marks Allotment**1Academic (% of marks in Class XII)i. Marks with 80 – 100%50ii. Marks with 60 -79% 40iii. Marks with 60 -79% 302Entrance test marks503Personality104Communication Skills105Aptitude &amp;amp;amp;amp; interest towards teaching 206General Knowledge107Maximum Marks150**Note 01:** Waiting list candidates should be selected equivalent to the intake capacity of the institute.
**Note 02:** The number of candidates for each counseling shall be decided by the respective DIETs.
**Note 03:** In case the number of selected candidates is less than the intake capacity, in such cases, the institution should give preference to the waiting list from other districts as well.
&gt; **Allotment of seats:**
At least 30% of the seats are to be allotted to candidates having Science and Mathematics backgrounds at the Class – XII level.
","The scheme “Scholarship to 2 Years Pre-Service Student Teachers undergoing D.El.Ed Programme at DIETs and CTTC Sohra” was launched by the Dept. of Education, Govt. of Meghalaya in 2012. The scheme offers a scholarship of ₹5000 p.m. for 2 years (10 months per year) to attract the state's best talent.
This scheme offers a scholarship of ₹5000/- per month for 2 years (10 months per year) to attract the state&amp;#39;s best talent to take up teaching as a profession.
","> **Application Process:**
**Step 01:** The students applying for the scholarship for the first time need to &amp;quot;Register&amp;quot; using the icon “New Registration” at the NSP Portal URL - [https://scholarships.gov.in/](https://scholarships.gov.in/), by providing accurate and correct information as per their documents.
**Step 02:** After successfully get registration done, students will get their “Student Registration ID”.
**Step 03:** Through “Student Registration ID” students will be able to login into the account using the icon “Fresh Application” at NSP Portal.
**Step 04:** After successful login to the portal, the welcome page appeared. On clicking the “Application Form” icon, students will be directed to the application screen.
**Step 05:** Now, the students may fill out the complete application form and on clicking the “Final Submit” button, the application is finally submitted.
**Step 06:** On successful submission of the application, a system-generated registration number is sent to the students which can be used for future reference.
&gt; **Selection Procedure:**
1.	Entrance Test
2.	Counselling
3.	The selection procedure will be based on merit as per block quota
","Education, Scholarship, Student, Teacher, Teaching"
Zero Budget Natural Farming,Agriculture Department,Individual,"
1. Interested farmers should be selected for the scheme who have a special interest in natural farming. Every farmer must have a minimum of one-acre land ownership or family account holder.
1. Interested farmers may be from the same village, neighboring villages, or different villages as far as possible. 
1. Interested farmers will be selected by the Regional Assistant Agriculture Officer / Agriculture Supervisor.
1. Horticulture crops and animal husbandry should also be included in natural farming.
1. For the selection of farmers, priority should be given to SC, ST, BPL, small and marginal farmers as much as possible. Youths up to 35 years should be included for natural farming so that their capacity can increase.
1. Necessary material like drum, bucket, jug etc. will be given on grant to the concerned farmer for setting up the input unit for natural farming. 
1. Farmers selected under Paramparagat Krishi Vikas Yojana should not be included in this scheme.
","The Rajasthan State government started a scheme ""Zero Budget Natual Farming"" in 2020-21 to promote  natural farming. 
   1. A subsidy of 50% provides to farmers to buy the farming items.
   1. A large drum of 200 litres, a small drum of 50 litres capacity, a bucket of 20 litres capacity, a Jug, filter, water spray, sprayer, Trichoderma, cow-urine, dung, etc. Material and organic mulch material like leaves of trees, weed bedding, leaves of millet-sorghum, etc., groundnut peels, and in the field for moisture conservation between the rows, 50% of the total cost of available other waste material or a maximum of Rs.600/- per farmer will be given as subsidy by DBT. 
   1. Training and Farmers Tours.
   1. Gram Panchayat level Training.
","
1. Applicant farmers have to go to the Agriculture Department office or Krishi Vigyan Kendra of your district to get the benefit of Mukhyamantri Swavalamban Yojana.
1. Get the application form to apply under this scheme.
1. Enter all the necessary information asked in the form carefully.
1. Attach the required documents with the application form.
1. Submit the application form to the same agriculture department.
","Agriculture, Farmer, Low Cost Fartming, Training"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Supply of Baby Pulpers,"{'value': 1565, 'label': 'Ministry Of Commerce And Industry'}",Individual,"
- The applicant should be a tribal grower.
- The applicant is eligible for only one unit.
","The scheme ""Supply of Baby Pulpers"" aims to facilitate the improvement of the quality of coffee produced by growers by encouraging them to establish infrastructure for quality enhancement and obtain certification for their coffees, enabling them to earn better returns.
**Unit Cost:** Actual cost of the unit or ₹16,000 per unit, whichever is less.
**Scale of Subsidy:** 75% of the Unit Cost.
","> **Step 1: Beneficiary Identification and Application**
The Extension Officer identifies the beneficiary/applicant and obtains the application for procurement &amp; supply of the baby pulper in the [prescribed format](https://coffeeboard.gov.in/Schemes/ICDP_388.pdf) (in duplicate). This process includes submitting land records and 25% of the unit cost.
> **Step 2: Procurement Details**
If baby pulpers are procured and supplied by the State Government/Other Agencies, the Extension Officer collects beneficiary details along with 25% of the unit cost of the pulper.
> **Step 3: Beneficiary List Compilation**
The Extension Officer compiles a list of identified beneficiaries and submits it to the concerned Deputy Director (Extn.), who consolidates the regional requirements and forwards them to the Joint Director (Extn.), Guwahati.
> **Step 4: Tendering Process**
The Joint Director (Extension), Guwahati completes the tendering process, adhering to all official formalities.
> **Step 5: Financial Sanction and Order Placement**
After the tendering process, the Joint Director (Extension), Guwahati obtains financial sanction from the Competent Authority and places the order with the accepted manufacturer. The condition is set for the manufacturer to supply the pulpers to the growers by October.
> **Step 6: Machinery Inspection and Payment**
Extension Officers conduct inspections of the machinery at the growers&#39; fields. They then submit the physical verification report to the concerned Deputy Director (Extn.)/Joint Director (Extn.), Guwahati, to effect the suppliers&#39; payment.
","Agriculture, DBT, Farmer, Subsidy"
Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),"{'value': 1565, 'label': 'Ministry Of Commerce And Industry'}",Individual,"
1. The applicant should be a Postgraduate Student or a Research Scholar from a recognized University/Institute.
1. The Internship should be a part of their Course curriculum (wherein duration of internship may extend to a semester) or undertaken as an additional assignment during the annual vacations.

","The Internship Scheme by the Directorate General of Trade Remedies (DGTR) provides opportunities for young scholars, especially from Law / Economics stream, interested in learning about trade remedial investigations.
> **Certificate of Internship**
Certificates will be issued to the interns at the end of successful completion of the Internship.
**NOTE:** No financial aid / stipend will be provided by this Directorate to the interns.
","The interested PG students / Research scholars may send their application in the [prescribed proforma](https://www.dgtr.gov.in/sites/default/files/Intership.pdf) along with their CV (optional) either by post or by-hand to reach the following address:
General Administration Section
Directorate General of Trade Remedies (DGTR)
Ministry of Commerce
Jeevan Tara Building, New Delhi, Delhi 110001
**NOTE:** The application should be sent at least one month in advance from the date the applicant intends to join.
","Commerce, Internship, Internship, Postgraduation, Research, Trade"
Scheme for Margin Money Grant to Nano Units,Industries and Commerce Department,"Business Entity, Industries","
   1. All new Nano proprietary enterprises in manufacturing/food processing and job works and units engaged in the service sector having any type of value addition, whose project cost includes fixed capital and working capital up to 10 lakhs are eligible for assistance under the scheme.
   1. The unit shall not have availed any grant assistance earlier under any schemes of the Government of India &amp;amp; Government of Kerala or Local Self Government Department.
**Note 01:** Preference is given to special categories such as women, handicapped persons, ex-servicemen, and persons belonging to SC/ST.
**Note 02:** Youth entrepreneurs up to the age of 40 are also given priority under the scheme.
**Note 03:** 30% of the beneficiaries under the scheme shall be women entrepreneurs.
**Note 04:** Industrial units which receive the assistance will be under obligation to remain working continuously for three years from the date of receipt of the grant. However, it is necessary that a unit shall be a working one as of the date of release of the assistance.
&gt; **Obligation of an applicant:**
   1. The applicant shall provide all required details and declare such information as to be true.
   1. The applicant shall provide clarifications of further details sought by the recommending/ sanctioning authority.
   1. The applicant shall allow inspection or verification of any details mentioned in the application including plant and machinery and all other assets if so required by recommending/sanctioning authority.
   1. Applicants shall produce originals of any important documents if so required by the recommending/ sanctioning authority for verification including:
   1. Title deed of land/land tax receipt if any/Lease agreement/rent agreement as the case may be.
   1. Ownership Certificate of the building if any.
   1. Invoice or bill of Plant and machinery.
   1. The applicant shall execute the requisite legal agreement online and if required on paper as and when the proposal is approved for implementation and furnish the signed hard copy subsequently via post or otherwise.
   1. The applicant shall utilize the amount received only in the manner agreed upon.
   1. The applicant shall operate the unit as stipulated in the agreement in which the quantum of support received, failing which the assistance shall be resumed by restoring the provisions of the Kerala Revenue Recovery Act.
","The scheme “Margin Money Grant to Nano Units” is a loan-linked scheme operated by Directorate of Industries & Commerce, Govt. of Kerala. The scheme aims to provide financial assistance to Nano units in the State, engaged in manufacturing,job work & service activity having any type of value addition.
1.	Units with project costs up to ₹10 Lakhs will be covered in the scheme.
2.	Margin Money Grant of 30% to 40% of the Total Project cost according to the category of the applicant.
3.	Women, Youth (Age between 18 and 40), Differentially-Abled Persons, Ex-Servicemen, and persons belonging to the SC/ST category will be eligible for a 10% additional Grant.
4.	The maximum limit of margin money grant under the scheme shall be ₹4 lakhs per unit as follows.
a. Loan given by financial institution/KFC/Co-operative bank: Minimum 40 % of the project cost
b. Promoter’s contribution: Minimum 30 % of the project cost
c. Margin money grand by Industries department: 30 % of the project cost limited to a maximum of 3 lakhs
d. In case of special categories MMG will be 40 % of the project cost limited to a maximum of 4 lakhs and promoter’s contribution shall be 20%.
> **Financial Assistance:**
**Category****Loan from Financial Institution (Minimum)****Beneficiary Contribution (Minimum)****Margin Money Grant (Maximum)**General40%30%30%Special40%20%40%**Note:** The assistance under the scheme shall be released to the eligible entrepreneur by bank on a pro-rata basis.
","**Step 01:** Application can be submitted online through the Official website of the Directorate of Industries &amp;amp; Commerce, Government of Kerala. The applicant needs to visit the [official website](https://schemes.industry.kerala.gov.in/public/index.php/schemes).
**Step 02:** The applicant may select the scheme “One Family One Enterprise” from the available Online Services listed on the home page and click on the “Apply Now” option. Clicking “Apply Now” redirects to the Login Page, if the new user uses the “Registration” option and if already registered use the ‘Login’ option.
**Step 03:** A new user can register by filling in his/her details and after successful registration, the user can login.
**Step 04**: After successful login, the applicant may fill out the application form.
**Step 05:** After filling out the application form completely and then click on ‘Submit’.
","Enterprise, Entrepreneur, Financial Assistance, Margin Money, Nano Unit"
Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students,"Adi Dravidar Welfare Department, Puducherry",Individual,"
- The applicant should be from a Scheduled Caste.
- The applicant should be a Student.
- The applicant should have secured 55% or above marks in the Higher Secondary Examination.
- The applicant should be a Native/Resident of the Union Territory of Puducherry for not less than 5 years.
","""Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry, is granted to top ranking boy and girl student in each region (Pondicherry, Karaikal and Yanam) who have secured 55% marks in the Higher Secondary Examination.
Cash Award of ₹15,000/-.
","**Step 1:** The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://adwelfare.py.gov.in/contact-us) of the Adi Dravidar Welfare and Scheduled Tribes Welfare Department, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
**Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
**Step 3:** Submit the duly filled and signed application form along with the documents to the concerned authority.
**Step 4:** Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
","Award, Financial Assistance, Scheduled Caste, Students"
Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women,"Adi Dravidar Welfare Department, Puducherry",Individual,"
- The applicant should be a citizen of India.
- The applicant should belong to the Union Territory of Pondicherry by virtue of birth or continuous residence of not less than 3 years.
- The applicant should be from Scheduled Caste.
- The applicant should be a woman.
- The applicant should be pregnant.
- The applicant should apply from 6 months of pregnancy and within 3 months from the date of delivery.
- The annual income of the applicant and spouse should not exceed ₹ 2,00,000/-.
- The grant of financial assistance is made available only for 2 deliveries.
","The scheme “Grant of Financial Assistance to Poor Scheduled Caste Pregnant & Lactating Women” was introduced by the Adi Dravidar Welfare Department, Government of Puducherry. The objective of the scheme is to provide assistance for the well-being of Pregnant and Lactating mothers and their children.
Financial Assistance of ₹12,000/- as follows:
- The pre-natal assistance shall be ₹ 2,000 in cash per month for three months prior to the month of delivery.
- The post-natal assistance shall be ₹ 2,000 in cash per month for three months following delivery. 
**** The grant of financial assistance is made available only for 2 deliveries.***
","**Step 1:** The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://adwelfare.py.gov.in/contact-us) of the Adi Dravidar Welfare and Scheduled Tribes Welfare Department, and request the hard copy of the [prescribed format](https://adwelfare.py.gov.in/sites/default/files/104-10-1.pdf) of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
**Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
**Step 3:** Submit the duly filled and signed application form along with the documents to the concerned authority.
**Step 4:** Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
","Child, Financial Asisstance, Hospital, Infant, Pregnant, Scheduled Caste, Woman"
Grant of House Construction Subsidy to Scheduled Caste People,"Adi Dravidar Welfare Department, Puducherry","Individual, Family","
- The applicant should be a citizen of India.
- The applicant should be a native or a permanent resident of the Union Territory of Pondicherry.
- The applicant should not possess a house.
- The applicant should be from Scheduled Caste or from Other Economically Backward Class.
<br>
> **For Scheduled Caste**
- The applicant should have a house site of an area of 450 sq.ft to build the house.
- The annual income of the applicant should not exceed ₹2,00,000/-.
<br>
> **For Other Economically Backward Class**
- The applicant should have a house site granted by Adi Dravidar Welfare Department.
- The annual income of the applicant should not exceed ₹24,000/-.
","The scheme “Grant of House Construction Subsidy to Scheduled Caste People” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry. The poor Scheduled Caste people, and other Economically backward class people, who meet the eligibility criteria, are provided house construction subsidy.
- The subsidy amount of ₹4,00,000/- is granted in 3 Instalments as follows:
                       1st Installment of ₹1,50,000/- on possession of vacant house site.
                       2nd Installment of ₹1,50,000/-.
                       3rd Installment of ₹1,00,000/-.
- The building materials worth ₹1,00,000/- will also be provided.
*** The number of beneficiaries to be covered every year will be completed according to the physical target earmarked in the action Plan.**
","**Step 1:** The interested applicant should visit (during office hours) the [Office/ Sub-Office](https://adwelfare.py.gov.in/contact-us) of the Adi Dravidar Welfare and Scheduled Tribes Welfare Department, and request the hard copy of the [prescribed format](https://adwelfare.py.gov.in/sites/default/files/house-construction-subsidy-app.pdf) of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
**Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
**Step 3:** Submit the duly filled and signed application form along with the documents to the concerned authority.
**Step 4:** Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
","Construction, House, Housing, SC, Scheduled Caste, Subsidy"
